,TOD,SC0041701_GO_RATE,SC0041701_LEFT_RATE,SC0041702_GO_RATE,SC0041702_LEFT_RATE,SC0041703_GO_RATE,SC0041703_LEFT_RATE,SC0041704_GO_RATE,SC0041704_LEFT_RATE,SC0041705_GO_RATE,SC0041705_LEFT_RATE,TOTAL_TRF,DAY
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.6764705882353,0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,391.82655246252676,0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,156.74534161490683,0
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,517.8913043478261,0
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,273.86684782608694,0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,362.26119402985074,1
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,116.22093023255815,1
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,222.59055118110237,1
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.91489361702128,1
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,435.0367647058824,1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,288.21487603305786,2
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.92617449664429,2
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,215.3695652173913,2
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,118.84946236559139,2
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,359.9178082191781,2
